Category,Compound,Dose,Frequency,Timing,Mechanism of Action,Benefits,Supports/Protects,Status
PEPTIDES - METABOLIC,Retatrutide,Per protocol,Weekly,Morning,Triple agonist (GLP-1/GIP/Glucagon) - activates all 3 incretin receptors,Weight loss; appetite control; improved insulin sensitivity; cardiovascular benefits,Metabolic health; body composition; cardiovascular system,HAVE
PEPTIDES - COSMETIC,MT2 (Melanotan 2),250-500mcg,2-3x/week loading then maintenance,Morning,Alpha-MSH analog - stimulates melanocortin receptors (MC1R),Tanning without UV; libido enhancement; appetite suppression,Skin protection; sexual health,HAVE
PEPTIDES - HEALING,BPC-157 (GLOW blend),500mcg,2x daily,AM + PM,Upregulates VEGF and growth hormone receptors; promotes angiogenesis; modulates nitric oxide,Accelerated tissue healing; gut repair; tendon/ligament recovery; neuroprotection,GI tract; tendons; ligaments; muscles; gut-brain axis; dopamine system,HAVE
PEPTIDES - HEALING,TB-500 (GLOW blend),5mg,2x/week,Mon/Thu PM,Upregulates actin; promotes cell migration and differentiation; reduces inflammation,Systemic healing; muscle recovery; flexibility; hair growth,Muscles; cardiovascular; connective tissue; hair follicles,HAVE
PEPTIDES - HEALING,GHK-Cu (GLOW blend),2mg,3x/week,Tue/Fri/Sun PM,Copper peptide - stimulates collagen; remodels tissue; antioxidant gene expression,Skin rejuvenation; wound healing; anti-aging; hair growth,Skin; collagen; hair; wound repair,HAVE
PEPTIDES - COGNITIVE,NA-Semax Amidate,600mcg,Daily,Morning intranasal,ACTH(4-7) analog - increases BDNF/NGF; modulates dopamine/serotonin,Enhanced focus; memory; neuroprotection; mood elevation; reduced anxiety,Brain; neurons; BDNF; cognitive function,ORDER - Peptide Sciences
PEPTIDES - COGNITIVE,Dihexa,10mg,Daily,Morning,HGF/c-Met receptor agonist - 10 million x more potent than BDNF for synaptogenesis,Massive neurogenesis; memory enhancement; learning capacity; cognitive repair,Neurons; synapses; hippocampus; memory circuits,HAVE
PEPTIDES - SLEEP,DSIP,200mcg,Nightly,Before bed,Delta sleep-inducing peptide - modulates sleep architecture; reduces cortisol,Deep sleep induction; stress reduction; recovery optimization,Sleep; HPA axis; recovery,HAVE
PEPTIDES - MITOCHONDRIAL,MOTS-c,10mg,3x/week,Mon/Wed/Fri AM,Mitochondrial-derived peptide - activates AMPK; regulates metabolism,Exercise mimetic; fat oxidation; insulin sensitivity; metabolic optimization,Mitochondria; metabolism; insulin sensitivity; exercise capacity,HAVE
PEPTIDES - LONGEVITY,Epithalon,10mg,Daily for 10-day cycles every 4-6mo,Morning,Activates telomerase; lengthens telomeres; regulates pineal gland,Telomere extension; anti-aging; improved sleep; immune function,Telomeres; pineal gland; immune system; longevity,ORDER - Peptide Sciences
PEPTIDES - GH AXIS,CJC-1295 (no DAC),200mcg,Nightly (5 on/2 off),Before bed,GHRH analog - extends GH pulse duration 2-3 hours,Sustained GH release; synergy with Ipamorelin; improved recovery,Growth hormone axis; muscle; fat metabolism; recovery,ADD - Peptide Sciences
PEPTIDES - GH AXIS,Ipamorelin,200mcg,Nightly (5 on/2 off),Before bed,Ghrelin mimetic - stimulates GH release without cortisol/prolactin spike,Clean GH pulse; improved sleep; body composition; anti-aging,Growth hormone axis; sleep; body composition,ADD - Peptide Sciences
NOOTROPICS,9-Me-BC,20mg,Daily (cycle 2-4 weeks on/4 off),Morning sublingual,Upregulates tyrosine hydroxylase; promotes dopaminergic neurogenesis; MAO-B inhibitor,Dopamine neuron regeneration; motivation; cognitive enhancement; neuroprotection,Dopamine neurons; tyrosine hydroxylase; motivation circuits,HAVE
NOOTROPICS,Bromantane,100mg,Daily (cycle 4-8 weeks),Morning,Upregulates TH and AADC gene expression; actoprotector; anxiolytic,Dopamine/serotonin synthesis upregulation; energy without depletion; reduced anxiety,Dopamine synthesis; serotonin; energy; anxiety,HAVE
NOOTROPICS,Noopept,30mg,Daily,Morning sublingual,Modulates AMPA/NMDA receptors; increases NGF and BDNF,Rapid cognitive enhancement; memory; neuroprotection,BDNF; NGF; memory; neurons,HAVE
NOOTROPICS,Flmodafinil,50-100mg,As needed,Morning,Dopamine reuptake inhibitor; more potent than modafinil; better bioavailability,Wakefulness; focus; motivation; cognitive enhancement,Dopamine; alertness; focus,ORDER - Limitless Life
